match_link,match_datetime,team_scoring,team_scoring_name,scorer,goal_time_label,goal_time,is_own_goal,is_penalty,is_during_extra
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950051/,2002-06-16,home,Sweden,Larsson, 11',11,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950051/,2002-06-16,away,Senegal,Camara,37',37,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950051/,2002-06-16,away,Senegal,Camara,104',104,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950052/,2002-06-16,home,Spain,Morientes, 8',8,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950052/,2002-06-16,away,Republic of Ireland,Robbie Keane, 90' (pen.),90,False,True,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950053/,2002-06-17,away,United States,McBride, 8',8,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950053/,2002-06-17,away,United States,Donovan, 65',65,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950054/,2002-06-17,home,Brazil,Rivaldo, 67',67,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950054/,2002-06-17,home,Brazil,Ronaldo, 87',87,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950055/,2002-06-18,away,Turkey,Ümit Davala, 12',12,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950056/,2002-06-18,home,South Korea,Seol Ki-Hyeon,88',88,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950056/,2002-06-18,home,South Korea,Ahn Jung-Hwan,117',117,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950056/,2002-06-18,away,Italy,Vieri, 18',18,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950057/,2002-06-21,home,England,Owen, 23',23,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950057/,2002-06-21,away,Brazil,Rivaldo, 45+2',47,False,False,True
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950057/,2002-06-21,away,Brazil,Ronaldinho, 50',50,False,False,False
